,Date,SUMS,,,,,,,
292,19.10.2016,1256.416,,,,,,,
293,20.10.2016,1797.083,,,,,,,
294,21.10.2016,853.177,,,,,,,
295,22.10.2016,2967.768,,,,,,,
296,23.10.2016,2054.959,,,,,,,
297,24.10.2016,2434.304,,,,,,,
298,25.10.2016,708.101,,,,,,,
299,26.10.2016,470.186,,,,,,,
300,27.10.2016,972.579,,,,,,,
301,28.10.2016,2754.182,,,,,,,
302,29.10.2016,404.582,,,,,,,
303,30.10.2016,2070.552,,,,,,,
304,31.10.2016,2460.047,,,,,,,
305,01.11.2016,2506.548,,,,,,,
306,02.11.2016,522.005,,,,,,,
307,03.11.2016,1638.395,,,,,,,
308,04.11.2016,2620.906,,,,,,,
309,05.11.2016,1681.596,,,,,,,
310,06.11.2016,128.096,,,,,,,
311,07.11.2016,935.71,,,,,,,
312,08.11.2016,2323.08,,,,,,,
313,09.11.2016,2752.631,,,,,,,
314,10.11.2016,1235.206,,,,,,,
315,11.11.2016,389.775,,,,,,,
316,12.11.2016,793.464,,,,,,,
317,13.11.2016,590.804,,,,,,,
318,14.11.2016,2460.386,,,,,,,
319,15.11.2016,1819.8,,,,,,,
320,16.11.2016,173.64,,,,,,,
321,17.11.2016,721.437,,,,,,,
322,18.11.2016,1663.453,,,,,,,
323,19.11.2016,283.415,,,,,,,
324,20.11.2016,2474.109,,,,,,,
325,21.11.2016,2282.457,,,,,,,
326,22.11.2016,2029.258,,,,,,,
327,23.11.2016,2028.689,,,,,,,
328,24.11.2016,1327.116,,,,,,,
329,25.11.2016,527.922,,,,,,,
330,26.11.2016,578.901,,,,,,,
331,27.11.2016,165.607,,,,,,,
332,28.11.2016,1037.804,,,,,,,
333,29.11.2016,2751.024,,,,,,,
334,30.11.2016,2362.367,,,,,,,
335,01.12.2016,775.085,,,,,,,
336,02.12.2016,802.69,,,,,,,
337,03.12.2016,1140.949,,,,,,,
338,04.12.2016,1575.972,,,,,,,
339,05.12.2016,2167.759,,,,,,,
340,06.12.2016,2214.67,,,,,,,
341,07.12.2016,1975.059,,,,,,,
342,08.12.2016,2368.55,,,,,,,
343,09.12.2016,2355.232,,,,,,,
344,10.12.2016,2347.705,,,,,,,
345,11.12.2016,722.018,,,,,,,
346,12.12.2016,170.746,,,,,,,
347,13.12.2016,1825.534,,,,,,,
348,14.12.2016,392.22,,,,,,,
349,15.12.2016,1555.858,,,,,,,
350,16.12.2016,1902.454,,,,,,,
351,17.12.2016,1910.212,,,,,,,
352,18.12.2016,1014.277,,,,,,,
353,19.12.2016,1425.204,,,,,,,
354,20.12.2016,2143.844,,,,,,,
355,21.12.2016,2231.87,,,,,,,
356,22.12.2016,2040.444,,,,,,,
357,23.12.2016,453.815,,,,,,,
358,24.12.2016,1108.209,,,,,,,
359,25.12.2016,197.957,,,,,,,
360,26.12.2016,1807.367,,,,,,,
361,27.12.2016,1719.231,,,,,,,
362,28.12.2016,958.889,,,,,,,
363,29.12.2016,1963.408,,,,,,,
364,30.12.2016,2319.753,,,,,,,
365,31.12.2016,2268.716,,,,,,,
