,Date,Hour,SUMS
278,12.01.2016,14,90.799
279,12.01.2016,15,0.956
280,12.01.2016,16,0
281,12.01.2016,17,0
282,12.01.2016,18,0
283,12.01.2016,19,0
284,12.01.2016,20,0
285,12.01.2016,21,0
286,12.01.2016,22,0
287,12.01.2016,23,0
288,13.01.2016,0,0
289,13.01.2016,1,0
290,13.01.2016,2,0
291,13.01.2016,3,0
292,13.01.2016,4,0
293,13.01.2016,5,0
294,13.01.2016,6,0
295,13.01.2016,7,3.945
296,13.01.2016,8,90.422
297,13.01.2016,9,49.159
298,13.01.2016,10,60.442
299,13.01.2016,11,47.194
300,13.01.2016,12,160.655
301,13.01.2016,13,110.878
302,13.01.2016,14,68.297
303,13.01.2016,15,0.769
304,13.01.2016,16,0
305,13.01.2016,17,0
306,13.01.2016,18,0
307,13.01.2016,19,0
308,13.01.2016,20,0
309,13.01.2016,21,0
310,13.01.2016,22,0
311,13.01.2016,23,0
312,14.01.2016,0,0
313,14.01.2016,1,0
314,14.01.2016,2,0
315,14.01.2016,3,0
316,14.01.2016,4,0
317,14.01.2016,5,0
318,14.01.2016,6,0
319,14.01.2016,7,3.99
320,14.01.2016,8,234.308
321,14.01.2016,9,340.385
322,14.01.2016,10,393.007
323,14.01.2016,11,437.147
324,14.01.2016,12,417.792
325,14.01.2016,13,330.724
326,14.01.2016,14,134.981
327,14.01.2016,15,1.904
328,14.01.2016,16,0
329,14.01.2016,17,0
330,14.01.2016,18,0
331,14.01.2016,19,0
332,14.01.2016,20,0
333,14.01.2016,21,0
334,14.01.2016,22,0
335,14.01.2016,23,0
336,15.01.2016,0,0
337,15.01.2016,1,0
338,15.01.2016,2,0
339,15.01.2016,3,0
340,15.01.2016,4,0
341,15.01.2016,5,0
342,15.01.2016,6,0
343,15.01.2016,7,3.903
344,15.01.2016,8,71.075
345,15.01.2016,9,41.161
346,15.01.2016,10,33.181
347,15.01.2016,11,59.912
348,15.01.2016,12,56.766
349,15.01.2016,13,24.626
350,15.01.2016,14,16.279
351,15.01.2016,15,1.346
352,15.01.2016,16,0
353,15.01.2016,17,0
354,15.01.2016,18,0
355,15.01.2016,19,0
356,15.01.2016,20,0
357,15.01.2016,21,0
358,15.01.2016,22,0
359,15.01.2016,23,0
360,16.01.2016,0,0
361,16.01.2016,1,0
362,16.01.2016,2,0
363,16.01.2016,3,0
364,16.01.2016,4,0
365,16.01.2016,5,0
